Num_inscricao;Nome;Cidade;UF;Email;Telefone;Modalidade;Sorteado;DH_Sorteio
1;MARCELO JOSE DOS SANTOS;BAURU;SP;marcelo@gmail.com;14-88577-1425;Remoto;N;
2;JOÃO DA SILVA;SÃO PAULO;SP;joaosilva@hotmail.com;14-98566-3214;Remoto;N;
3;FELIPE GRANDINI DOS SANTOS;CAMPINAS;SP;felipe@ig.com.br;16-88744-0158;Presencial;N;
4;PEDRO GRANDINI DOS SANTOS;SÃO JOSE DO RIO PRETO;SP;pedro@gmail.com;17-88544-0258;Remoto;N;
5;MARIA HELENA GRANDINI DOS SANTOS;PIRATININGA;SP;mhelena@msn.com;14-88477-0245;Presencial;N;
6;MARIA DAS NEVES;RIO DE JANEIRO;RJ;maria@ig.com.br;22-99477-1859;Remoto;N;
7;ANTONIO SOUZA;DUARTINA;SP;antonio@unesp.br;16-99455-6602;Remoto;N;
8;RENATO GUIMARAES;ILHÉUS;BA;renatogui@assp.com.br;15-88544-0147;Presencial;N;
9;ALICE OLIVEIRA;HORTOLANDIA;SP;alice@unesp.br;12-33622-2508;Remoto;N;
10;ANDRE SILVEIRA;CAMPO LARGO ;PR;andresilveira@msn.com;11-88744-0522;Presencial;N;
